01459|LJSpeech|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.
00808|LJSpeech|tʊ ˌʌndɚtˈeɪk sˌʌm kˈaɪnd ʌv ɹᵻfˈɔːɹm.|tʊ ˌʌndɚtˈeɪk sˌʌm kˈaɪnd ʌv ɹᵻfˈɔːɹm.
01187|LJSpeech|sˈɔːt tuː "ɹˈæŋk ðə pɹˈɪzənz ðeɪ bˈɪlt ɐmˌʌŋ ðə mˈoʊst splˈɛndɪd bˈɪldɪŋz ʌvðə sˈɪɾi ɔːɹ tˈaʊn."|sˈɔːt tuː "ɹˈæŋk ðə pɹˈɪzənz ðeɪ bˈɪlt ɐmˌʌŋ ðə mˈoʊst splˈɛndɪd bˈɪldɪŋz ʌvðə sˈɪɾi ɔːɹ tˈaʊn."
00898|LJSpeech|vˈɛɹiəs ˈækts wɜːɹ ˈɔːlsoʊ pˈæst tə kənsˈɑːlᵻdˌeɪt ænd ɐmˈɛnd pɹˈiːviəs dʒˈeɪl ˈækts.|vˈɛɹiəs ˈækts wɜːɹ ˈɔːlsoʊ pˈæst tə kənsˈɑːlᵻdˌeɪt ænd ɐmˈɛnd pɹˈiːviəs dʒˈeɪl ˈækts.
01586|LJSpeech|hiː ɹˈiəli dɪdnˌɑːt nˈoʊ wʌt pˈæst ɪn hɪz dʒˈeɪl|hiː ɹˈiəli dɪdnˌɑːt nˈoʊ wʌt pˈæst ɪn hɪz dʒˈeɪl
01349|LJSpeech|ðə sˈɪɾi dʒˈʌstɪsᵻz hæd nˌɑːt fʊlfˈɪld ðɪs ˌɑːblɪɡˈeɪʃən.|ðə sˈɪɾi dʒˈʌstɪsᵻz hæd nˌɑːt fʊlfˈɪld ðɪs ˌɑːblɪɡˈeɪʃən.
01758|LJSpeech|ˈɔːl pɹˈaɪvəsi wʌz ɪmpˈɑːsᵻbəl ˌʌndɚ ðə sˈɜːkəmstˌænsᵻz.|ˈɔːl pɹˈaɪvəsi wʌz ɪmpˈɑːsᵻbəl ˌʌndɚ ðə sˈɜːkəmstˌænsᵻz.
02086|LJSpeech|"θˈæŋk juː, sˈɜː," sˈɛd ðə ɡˈʌvɚnɚ tə ðə dˈɑːktɚ, "ɪɾ ɪz ʌv lˈɪɾəl mˈoʊmənt."|"θˈæŋk juː, sˈɜː," sˈɛd ðə ɡˈʌvɚnɚ tə ðə dˈɑːktɚ, "ɪɾ ɪz ʌv lˈɪɾəl mˈoʊmənt."
00644|LJSpeech|ðə pɹˈɪzənɚ mˈɛnʃənd əbˌʌv wʌz kəntˈɪnjuːəli pˈɜːsɪkjˌuːɾᵻd baɪ tɹˈaɪəlz ʌv ðɪs kˈaɪnd.|ðə pɹˈɪzənɚ mˈɛnʃənd əbˌʌv wʌz kəntˈɪnjuːəli pˈɜːsɪkjˌuːɾᵻd baɪ tɹˈaɪəlz ʌv ðɪs kˈaɪnd.
01899|LJSpeech|ʃˌʊd biː fɚɹə nˈʌmbɚɹ ʌv jˈɪɹz ɪn ʌndɪstˈɜːbd ˌɑːpɚɹˈeɪʃən, nˌɑːt ˈoʊnli ɪn kəntˈɛmpt ʌv ɹᵻlˈɪdʒən ænd hjuːmˈænᵻɾi,|ʃˌʊd biː fɚɹə nˈʌmbɚɹ ʌv jˈɪɹz ɪn ʌndɪstˈɜːbd ˌɑːpɚɹˈeɪʃən, nˌɑːt ˈoʊnli ɪn kəntˈɛmpt ʌv ɹᵻlˈɪdʒən ænd hjuːmˈænᵻɾi,
00495|LJSpeech|ðiːz wɜː lˈʌmpt təɡˌɛðɚɹ ˌɪntʊ ɐ dʒˈɛnɚɹəl fˈʌnd,|ðiːz wɜː lˈʌmpt təɡˌɛðɚɹ ˌɪntʊ ɐ dʒˈɛnɚɹəl fˈʌnd,
01262|LJSpeech|jˈɛt tə klˈɜːkənwˌɛl wɜː nˈaʊ kəmˈɪɾᵻd ðə dʒˈuːvənˌaɪlz, ænd ˈɔːl hˌuː wɜːɹ ˌɪnɛkspˈiəɹɪənst ɪn kɹˈaɪm.|jˈɛt tə klˈɜːkənwˌɛl wɜː nˈaʊ kəmˈɪɾᵻd ðə dʒˈuːvənˌaɪlz, ænd ˈɔːl hˌuː wɜːɹ ˌɪnɛkspˈiəɹɪənst ɪn kɹˈaɪm.
00215|LJSpeech|fˈʊl diːtˈeɪlz ʌvðɪ ɚɹˈeɪndʒmənts ɑːɹ təbi fˈaʊnd ɪn mˈɪstɚ nˈiːldz "stˈeɪt ʌv pɹˈɪzənz ɪn ˈɪŋɡlənd, skˈɑːtlənd, ænd wˈeɪlz," pˈʌblɪʃt ɪn ˈeɪtiːn twˈɛlv.|fˈʊl diːtˈeɪlz ʌvðɪ ɚɹˈeɪndʒmənts ɑːɹ təbi fˈaʊnd ɪn mˈɪstɚ nˈiːldz "stˈeɪt ʌv pɹˈɪzənz ɪn ˈɪŋɡlənd, skˈɑːtlənd, ænd wˈeɪlz," pˈʌblɪʃt ɪn ˈeɪtiːn twˈɛlv.
00797|LJSpeech|ɔːlðˈoʊ ɐtˈɛmptᵻd pˈɑːɹʃəli æt bɹˈaɪdwɛl, ænd mˈoːɹ sˌɪstəmˈæɾɪkli æt ðə nˈuː mˈɪlbæŋk pˌɛnɪtˈɛnʃjɚɹi,|ɔːlðˈoʊ ɐtˈɛmptᵻd pˈɑːɹʃəli æt bɹˈaɪdwɛl, ænd mˈoːɹ sˌɪstəmˈæɾɪkli æt ðə nˈuː mˈɪlbæŋk pˌɛnɪtˈɛnʃjɚɹi,
00823|LJSpeech|ðə wˈɜːk bˌiːɪŋ kˈɑːnstənt ænd sˈuːɾəbəl, wɪð sˈɜːʔn̩ ˈaʊɚz ʌv ɹᵻlɐksˈeɪʃən ænd fɔːɹ fˈuːd ænd ˈɛksɚsˌaɪz.|ðə wˈɜːk bˌiːɪŋ kˈɑːnstənt ænd sˈuːɾəbəl, wɪð sˈɜːʔn̩ ˈaʊɚz ʌv ɹᵻlɐksˈeɪʃən ænd fɔːɹ fˈuːd ænd ˈɛksɚsˌaɪz.
01398|LJSpeech|ðə lˈɔːɹdz kəmˈɪɾi fˈʊli ɹˈɛkəɡnˌaɪzd ðə pˈeɪnfəl fˈækt|ðə lˈɔːɹdz kəmˈɪɾi fˈʊli ɹˈɛkəɡnˌaɪzd ðə pˈeɪnfəl fˈækt
01427|LJSpeech|bˈækt ˌʌp baɪ ðɪ ˈɛvɪdəns ʌv sˈɛvɹəl ˌɪnfluːˈɛnʃəl wˈɪtnəsᵻz.|bˈækt ˌʌp baɪ ðɪ ˈɛvɪdəns ʌv sˈɛvɹəl ˌɪnfluːˈɛnʃəl wˈɪtnəsᵻz.
00450|LJSpeech|hɪz bᵻkwˈɛst, wˌɪtʃ wʌz tʃˈɑːɹdʒd əpˌɑːn hɪz mˈænɚɹ æt ɡˈoːɹɪŋ, ˈɑːksən, ænd hˈɛns kˈɔːld ðɪ ˈɑːksfɚd tʃˈæɹᵻɾi,|hɪz bᵻkwˈɛst, wˌɪtʃ wʌz tʃˈɑːɹdʒd əpˌɑːn hɪz mˈænɚɹ æt ɡˈoːɹɪŋ, ˈɑːksən, ænd hˈɛns kˈɔːld ðɪ ˈɑːksfɚd tʃˈæɹᵻɾi,
00532|LJSpeech|wˈaɪn ænd bˈɪɹ mˌaɪt biː hæd ɪn ˌɛni kwˈɔntᵻɾi, ðɪ ˈoʊnli lˌɪmɪtˈeɪʃən bˈiːɪŋ|wˈaɪn ænd bˈɪɹ mˌaɪt biː hæd ɪn ˌɛni kwˈɔntᵻɾi, ðɪ ˈoʊnli lˌɪmɪtˈeɪʃən bˈiːɪŋ
01860|LJSpeech|ðə jˈɑːɹdz wɜː nˈæɹoʊ ænd kənfˈaɪnd, mˈeɪnli bɪkˈʌz ðə ɡɹˈaʊnd plˈæn wʌz ɹˈædɪkli vˈɪʃəs. ðiːz wɜːɹ ˈiːvəlz ɪnsˈɛpɚɹəbəl fɹʌmðə plˈeɪs.|ðə jˈɑːɹdz wɜː nˈæɹoʊ ænd kənfˈaɪnd, mˈeɪnli bɪkˈʌz ðə ɡɹˈaʊnd plˈæn wʌz ɹˈædɪkli vˈɪʃəs. ðiːz wɜːɹ ˈiːvəlz ɪnsˈɛpɚɹəbəl fɹʌmðə plˈeɪs.
01197|LJSpeech|bˌʌt ʃˌæl ˈɔːlsoʊ tˈɛnd mˈoːɹ ɪfˈɛktʃuːəli tə pɹɪzˈɜːv ðə hˈɛlθ|bˌʌt ʃˌæl ˈɔːlsoʊ tˈɛnd mˈoːɹ ɪfˈɛktʃuːəli tə pɹɪzˈɜːv ðə hˈɛlθ
01239|LJSpeech|baɪ dᵻɡɹˈiːz, haʊˈɛvɚ,|baɪ dᵻɡɹˈiːz, haʊˈɛvɚ,
01626|LJSpeech|ðə doʊnˈeɪʃən əvə fɪlɐnθɹˈɑːpɪk dʒˈɛntəlmən, kˈæptɪn bɹˈaʊn, bˌʌt ðˈiːz, pɚtˈɪkjʊlɚli ðə bˈaɪbəlz, bˈoːɹ lˈɪɾəl ɐpˈɪɹəns ʌv hˌævɪŋ bˌɪn jˈuːzd.|ðə doʊnˈeɪʃən əvə fɪlɐnθɹˈɑːpɪk dʒˈɛntəlmən, kˈæptɪn bɹˈaʊn, bˌʌt ðˈiːz, pɚtˈɪkjʊlɚli ðə bˈaɪbəlz, bˈoːɹ lˈɪɾəl ɐpˈɪɹəns ʌv hˌævɪŋ bˌɪn jˈuːzd.
01123|LJSpeech|ʌnlˈɛs ðeɪ kʊd ɐfˈoːɹd tə pˈeɪ fɚɹə vˈiəkəl ˌaʊɾəv ðɛɹ ˈoʊn fˈʌndz.|ʌnlˈɛs ðeɪ kʊd ɐfˈoːɹd tə pˈeɪ fɚɹə vˈiəkəl ˌaʊɾəv ðɛɹ ˈoʊn fˈʌndz.
01771|LJSpeech|lˈæfɪŋ ænd ʌpɹˈoːɹiəs, ˈʌɾɚli ʌnmˈaɪndfəl ʌvðə kəmpˈæniənʃˌɪp ʌv mˈɛn əpˌɑːn hˈuːm lˈeɪ ðə ʃˈædoʊ əvən ɪmpˈɛndɪŋ ʃˈeɪmfəl dˈɛθ.|lˈæfɪŋ ænd ʌpɹˈoːɹiəs, ˈʌɾɚli ʌnmˈaɪndfəl ʌvðə kəmpˈæniənʃˌɪp ʌv mˈɛn əpˌɑːn hˈuːm lˈeɪ ðə ʃˈædoʊ əvən ɪmpˈɛndɪŋ ʃˈeɪmfəl dˈɛθ.
00073|LJSpeech|ðə bˈɛst, mˈoʊstli fɹˈɛntʃ ɔːɹ lˈoʊkˈʌntɹi, wʌz nˈiːt ænd klˈɪɹ, bˌʌt wɪðˌaʊt ˌɛni dɪstˈɪŋkʃən;|ðə bˈɛst, mˈoʊstli fɹˈɛntʃ ɔːɹ lˈoʊkˈʌntɹi, wʌz nˈiːt ænd klˈɪɹ, bˌʌt wɪðˌaʊt ˌɛni dɪstˈɪŋkʃən;
01182|LJSpeech|ɪt wʌz θˈɔːt ðæt ðɪs wʊd ɡˌæɹəntˈiː kˈɑːnstənt suːpɚvˈɪʒən ænd ɪnspˈɛkʃən, bˌʌt ɪt dˈɪd nˈʌθɪŋ ʌvðə kˈaɪnd, ænd ˈoʊnli ðə pɹˈɛzəns ʌv wˈɔːɹdɚz ˌɔn dˈuːɾi|ɪt wʌz θˈɔːt ðæt ðɪs wʊd ɡˌæɹəntˈiː kˈɑːnstənt suːpɚvˈɪʒən ænd ɪnspˈɛkʃən, bˌʌt ɪt dˈɪd nˈʌθɪŋ ʌvðə kˈaɪnd, ænd ˈoʊnli ðə pɹˈɛzəns ʌv wˈɔːɹdɚz ˌɔn dˈuːɾi
00973|LJSpeech|baɪ ðə θˈɜːɾiwˈʌn dʒˈɔːɹdʒ ðə θˈɜːd sˈiː. fˈɔːɹɾisˈɪks, ˈɛs. fˈaɪv,|baɪ ðə θˈɜːɾiwˈʌn dʒˈɔːɹdʒ ðə θˈɜːd sˈiː. fˈɔːɹɾisˈɪks, ˈɛs. fˈaɪv,
01445|LJSpeech|ɪɾ ɪz ɐn ˈeɪbəl ænd ɛɡzˈɔːstɪv stˈeɪt pˈeɪpɚ, tˈɛstᵻfˌaɪɪŋ tə ðə kˈiːnnəs ʌvðə ɹˈaɪɾɚz pɚsˈɛpʃən, ænd hɪz ˌʌnɹiːmˈɪɾɪŋ lˈeɪbɚɹ ɪn pɚsˈuːɪŋ hɪz ɹᵻsˈɜːtʃᵻz.|ɪɾ ɪz ɐn ˈeɪbəl ænd ɛɡzˈɔːstɪv stˈeɪt pˈeɪpɚ, tˈɛstᵻfˌaɪɪŋ tə ðə kˈiːnnəs ʌvðə ɹˈaɪɾɚz pɚsˈɛpʃən, ænd hɪz ˌʌnɹiːmˈɪɾɪŋ lˈeɪbɚɹ ɪn pɚsˈuːɪŋ hɪz ɹᵻsˈɜːtʃᵻz.
02147|LJSpeech|ɐmˌʌŋ ðə dˈɛd wʌzɐ sˈeɪlɚ lˈæd hˈuːm nˈoʊwˈʌn nˈuː;|ɐmˌʌŋ ðə dˈɛd wʌzɐ sˈeɪlɚ lˈæd hˈuːm nˈoʊwˈʌn nˈuː;
00380|LJSpeech|ðə foːɹɡˈoʊɪŋ ɹˈɛntəlz ænd pˈeɪmənts fɔːɹ pɹˈɪvᵻlɪdʒᵻz, təɡˌɛðɚ wɪð fˈiːz ɛɡzˈæktᵻd ˌɔn kəmˈɪtmənt ænd dɪstʃˈɑːɹdʒ, wɛnt tə ðə mˈɑːɹʃəl ɔːɹ kˈiːpɚɹ ʌvðə pɹˈɪzən,|ðə foːɹɡˈoʊɪŋ ɹˈɛntəlz ænd pˈeɪmənts fɔːɹ pɹˈɪvᵻlɪdʒᵻz, təɡˌɛðɚ wɪð fˈiːz ɛɡzˈæktᵻd ˌɔn kəmˈɪtmənt ænd dɪstʃˈɑːɹdʒ, wɛnt tə ðə mˈɑːɹʃəl ɔːɹ kˈiːpɚɹ ʌvðə pɹˈɪzən,
00356|LJSpeech|fɔːɹ ðɪs hiː wʌz sˈʌmənd bᵻfˌoːɹ ɐ mˈædʒɪstɹˌeɪt, ænd sˈɛntənst æz ɔːlɹˌɛdi stˈeɪɾᵻd.|fɔːɹ ðɪs hiː wʌz sˈʌmənd bᵻfˌoːɹ ɐ mˈædʒɪstɹˌeɪt, ænd sˈɛntənst æz ɔːlɹˌɛdi stˈeɪɾᵻd.
01408|LJSpeech|ˈɪnstənsᵻz ɹˈɛɹli əkˈɜː ɪnwˌɪtʃ ðə bˈʌɹoʊ dʒˈeɪlz ɐdmˈɪt ʌv ˌɛni pɹˈɑːpɚ klˌæsɪfɪkˈeɪʃən ʌvðə pɹˈɪzənɚz.|ˈɪnstənsᵻz ɹˈɛɹli əkˈɜː ɪnwˌɪtʃ ðə bˈʌɹoʊ dʒˈeɪlz ɐdmˈɪt ʌv ˌɛni pɹˈɑːpɚ klˌæsɪfɪkˈeɪʃən ʌvðə pɹˈɪzənɚz.
00887|LJSpeech|sˌʌm ʌvðə kˈaʊnti dʒˈeɪlz, ænd wˈʌn ɔːɹ tˈuː bˈʌɹoʊ dʒˈeɪlz, hɐdbɪn ɹᵻbˈɪlt,|sˌʌm ʌvðə kˈaʊnti dʒˈeɪlz, ænd wˈʌn ɔːɹ tˈuː bˈʌɹoʊ dʒˈeɪlz, hɐdbɪn ɹᵻbˈɪlt,
00023|LJSpeech|bˌʌt ðə fˈɜːst bˈaɪbəl ˈæktʃuːəli dˈeɪɾᵻd wˌɪtʃ ˈɔːlsoʊ wʌz pɹˈɪntᵻd æt mˈeɪnts baɪ pˈiːɾɚ skˈoʊfɚɹ ɪnðə jˈɪɹ fˈoːɹtiːn sˈɪkstitˈuː|bˌʌt ðə fˈɜːst bˈaɪbəl ˈæktʃuːəli dˈeɪɾᵻd wˌɪtʃ ˈɔːlsoʊ wʌz pɹˈɪntᵻd æt mˈeɪnts baɪ pˈiːɾɚ skˈoʊfɚɹ ɪnðə jˈɪɹ fˈoːɹtiːn sˈɪkstitˈuː
00348|LJSpeech|fɚðə pˈɔːltɹi sˈʌm ʌv fˈoːɹ pˈɛns, wɪð kˈɔsts ʌv sˈɛvən ʃˈɪlɪŋz, sˈɪks pˈɛns.|fɚðə pˈɔːltɹi sˈʌm ʌv fˈoːɹ pˈɛns, wɪð kˈɔsts ʌv sˈɛvən ʃˈɪlɪŋz, sˈɪks pˈɛns.
02157|LJSpeech|wɜː blˈɑːkt baɪ pˈɜːsənz hˌuː hæd ˌoʊvɚflˈoʊd fɹʌmðɪ ˈɛɹiə ɪn fɹˈʌnt ʌvðə dʒˈeɪl.|wɜː blˈɑːkt baɪ pˈɜːsənz hˌuː hæd ˌoʊvɚflˈoʊd fɹʌmðɪ ˈɛɹiə ɪn fɹˈʌnt ʌvðə dʒˈeɪl.
00390|LJSpeech|dˈɪsəlˌuːt hˈæbɪts pɹɪvˈeɪld ˌɔn ˈɔːl sˈaɪdz; dɹˈʌŋkənnəs wʌz jˌuːnɪvˈɜːsəl, ɡˈæmblɪŋ pɚpˈɛtʃuːəl.|dˈɪsəlˌuːt hˈæbɪts pɹɪvˈeɪld ˌɔn ˈɔːl sˈaɪdz; dɹˈʌŋkənnəs wʌz jˌuːnɪvˈɜːsəl, ɡˈæmblɪŋ pɚpˈɛtʃuːəl.
00114|LJSpeech|ɪn ʃˈɔːɹt, ɪt hˈæpənz tə ðɪs kɹˈæft, æz tʊ ˈʌðɚz, ðætðə jˌuːɾɪlɪtˈɛɹiən pɹˈæktɪs, ðˌoʊ ɪt pɹəfˈɛsᵻz tʊ ɐvˈɔɪd ˈɔːɹnəmənt,|ɪn ʃˈɔːɹt, ɪt hˈæpənz tə ðɪs kɹˈæft, æz tʊ ˈʌðɚz, ðætðə jˌuːɾɪlɪtˈɛɹiən pɹˈæktɪs, ðˌoʊ ɪt pɹəfˈɛsᵻz tʊ ɐvˈɔɪd ˈɔːɹnəmənt,
01386|LJSpeech|ʃˌʊd biː stɹˈɪktli pɹəhˈɪbɪɾᵻd, "æz ɐ stˈɪmjʊlˌeɪɾɪŋ lˈʌkʃɚɹi ɪŋkənsˈɪstənt wɪð ˌɛni nˈoʊʃən ʌv stɹˈɪkt dˈɪsɪplˌɪn ænd ðə dˈuː pɹˈɛʃɚɹ ʌv dʒˈʌst pˈʌnɪʃmənt."|ʃˌʊd biː stɹˈɪktli pɹəhˈɪbɪɾᵻd, "æz ɐ stˈɪmjʊlˌeɪɾɪŋ lˈʌkʃɚɹi ɪŋkənsˈɪstənt wɪð ˌɛni nˈoʊʃən ʌv stɹˈɪkt dˈɪsɪplˌɪn ænd ðə dˈuː pɹˈɛʃɚɹ ʌv dʒˈʌst pˈʌnɪʃmənt."
01434|LJSpeech|ðiːz kənsˌɪdɚɹˈeɪʃənz nˈoʊ dˈaʊt hæd wˈeɪt|ðiːz kənsˌɪdɚɹˈeɪʃənz nˈoʊ dˈaʊt hæd wˈeɪt
00755|LJSpeech|ɐmˌʌŋst ðə hˈiːp wʌz ˈɔfən ðə mˈiːt ðæt hæd mˌeɪd tˈɜːɾəl sˈuːp, wˈɪtʃ, wˌɛn hˈiːɾᵻd ænd stˈɜːd təɡˌɛðɚɹ ɪn ɐ sˈɔːspən, wʌz sˈɛd təbi vˈɛɹi ɡˈʊd ˈiːɾɪŋ.|ɐmˌʌŋst ðə hˈiːp wʌz ˈɔfən ðə mˈiːt ðæt hæd mˌeɪd tˈɜːɾəl sˈuːp, wˈɪtʃ, wˌɛn hˈiːɾᵻd ænd stˈɜːd təɡˌɛðɚɹ ɪn ɐ sˈɔːspən, wʌz sˈɛd təbi vˈɛɹi ɡˈʊd ˈiːɾɪŋ.
01168|LJSpeech|ðə ɹˈɛfjuːdʒ, wˌɪtʃ hæd fɔːɹ ɪts ˈɑːbdʒɛkt ðə tɹˈeɪnɪŋ ʌv ɪts ˈɪnmeɪts ɪn hˈæbɪts ʌv ˈɪndʌstɹi,|ðə ɹˈɛfjuːdʒ, wˌɪtʃ hæd fɔːɹ ɪts ˈɑːbdʒɛkt ðə tɹˈeɪnɪŋ ʌv ɪts ˈɪnmeɪts ɪn hˈæbɪts ʌv ˈɪndʌstɹi,
01790|LJSpeech|ɔnðə wˈʌn hˈænd, ðə lˈeɪdiz ɐsˌoʊsɪˈeɪʃən, səpˈoːɹɾᵻd ænd ɛŋkˈɜːɹɪdʒd baɪ pˈʌblɪk ɐpɹˈuːvəl, tɹˈɛntʃt əpˌɑːn hɪz pɪkjˈuːlɪɹ pɹˈɑːvɪns;|ɔnðə wˈʌn hˈænd, ðə lˈeɪdiz ɐsˌoʊsɪˈeɪʃən, səpˈoːɹɾᵻd ænd ɛŋkˈɜːɹɪdʒd baɪ pˈʌblɪk ɐpɹˈuːvəl, tɹˈɛntʃt əpˌɑːn hɪz pɪkjˈuːlɪɹ pɹˈɑːvɪns;
00931|LJSpeech|ænd ðə ɹˈiːzən ɪz plˈeɪn: juː hæv tˈeɪkən hˌɪm fɹʌm hɪz hˈoʊm, ænd hæv dᵻpɹˈaɪvd hˌɪm ʌvðə mˈiːnz ʌv pɹəvˈaɪdɪŋ hɪmsˈɛlf wɪððə nˈɛsᵻsɚɹiz ɔːɹ kˈʌmfɚts ʌv lˈaɪf,|ænd ðə ɹˈiːzən ɪz plˈeɪn: juː hæv tˈeɪkən hˌɪm fɹʌm hɪz hˈoʊm, ænd hæv dᵻpɹˈaɪvd hˌɪm ʌvðə mˈiːnz ʌv pɹəvˈaɪdɪŋ hɪmsˈɛlf wɪððə nˈɛsᵻsɚɹiz ɔːɹ kˈʌmfɚts ʌv lˈaɪf,
01472|LJSpeech|ænd wɛn ðə pˌɑːpjʊlˈeɪʃən fˈɛl ðeɪ ʃˈʌt ˌʌp wˈʌn hˈæf ðə dʒˈeɪl ænd kɹˈaʊdᵻd ˌʌp ðɪ ˈʌðɚ.|ænd wɛn ðə pˌɑːpjʊlˈeɪʃən fˈɛl ðeɪ ʃˈʌt ˌʌp wˈʌn hˈæf ðə dʒˈeɪl ænd kɹˈaʊdᵻd ˌʌp ðɪ ˈʌðɚ.
00176|LJSpeech|sˌoʊ ðæt ɪf ðə tˈuː ɑːɹ hˈɛlpfəl tə wˈʌn ɐnˈʌðɚɹ ɪɾ ɪz ɐ mˈɪɹ mˈæɾɚɹ ʌv ˈæksɪdənt.|sˌoʊ ðæt ɪf ðə tˈuː ɑːɹ hˈɛlpfəl tə wˈʌn ɐnˈʌðɚɹ ɪɾ ɪz ɐ mˈɪɹ mˈæɾɚɹ ʌv ˈæksɪdənt.
00563|LJSpeech|ðɛɹwˌʌz nˈoʊ lˈæk ʌv ˈɛɹ ænd lˈaɪt fɚðə nˈuː dʒˈeɪl, ænd sˈɛvɹəl ˈɛksɚsˌaɪzɪŋ jˈɑːɹdz.|ðɛɹwˌʌz nˈoʊ lˈæk ʌv ˈɛɹ ænd lˈaɪt fɚðə nˈuː dʒˈeɪl, ænd sˈɛvɹəl ˈɛksɚsˌaɪzɪŋ jˈɑːɹdz.
01055|LJSpeech|ɪɾ ɪz kənsˈoʊlɪŋ tə nˈoʊ ðæt ðɛɹwˌɜːɹ ɐ fjˈuː bɹˈɪliənt ɛksˈɛpʃənz tə ðɪs kɹˈuːəl, kˈæləs nᵻɡlˈɛkt.|ɪɾ ɪz kənsˈoʊlɪŋ tə nˈoʊ ðæt ðɛɹwˌɜːɹ ɐ fjˈuː bɹˈɪliənt ɛksˈɛpʃənz tə ðɪs kɹˈuːəl, kˈæləs nᵻɡlˈɛkt.
01346|LJSpeech|æz jˈɛt nˈoʊ ɹˈuːlz ɔːɹ ɹˌɛɡjʊlˈeɪʃənz hɐdbɪn pɹˈɪntᵻd ɔːɹ pɹɪpˈɛɹd.|æz jˈɛt nˈoʊ ɹˈuːlz ɔːɹ ɹˌɛɡjʊlˈeɪʃənz hɐdbɪn pɹˈɪntᵻd ɔːɹ pɹɪpˈɛɹd.
00883|LJSpeech|sˌʌm pɹˈɪzənz ðæt hɐdbɪn ɐmˈiːlɪɹˌeɪɾᵻd ˌʌndɚ ðə pɚswˈeɪsɪv ˈɪnfluːəns ʌv hɪz kˈaɪnd ɐdvˈaɪs wɜː ɹᵻlˈæpsɪŋ ˌɪntʊ ðɛɹ fˈɔːɹmɚ hˈɔːɹɪd stˈeɪt ʌv pɹaɪvˈeɪʃən,|sˌʌm pɹˈɪzənz ðæt hɐdbɪn ɐmˈiːlɪɹˌeɪɾᵻd ˌʌndɚ ðə pɚswˈeɪsɪv ˈɪnfluːəns ʌv hɪz kˈaɪnd ɐdvˈaɪs wɜː ɹᵻlˈæpsɪŋ ˌɪntʊ ðɛɹ fˈɔːɹmɚ hˈɔːɹɪd stˈeɪt ʌv pɹaɪvˈeɪʃən,
00747|LJSpeech|wɜː mˈiːɡɚ ɔːɹ ˌɔːltəɡˈɛðɚɹ ˈæbsənt.|wɜː mˈiːɡɚ ɔːɹ ˌɔːltəɡˈɛðɚɹ ˈæbsənt.
02120|LJSpeech|mˌeɪd ɐ fˈʊl kənfˈɛʃən, ænd ˈɪmplᵻkˌeɪɾᵻd hˈɑːləwˌeɪ ænd hˈæɡɚɾi.|mˌeɪd ɐ fˈʊl kənfˈɛʃən, ænd ˈɪmplᵻkˌeɪɾᵻd hˈɑːləwˌeɪ ænd hˈæɡɚɾi.
01074|LJSpeech|ɪndˈʌstɹɪəl lˈeɪbɚ hæd ˈɔːlsoʊ bˌɪn ˌɪntɹədˈuːst wɪð sˌæɾɪsfˈæktɚɹi ɹɪzˈʌlts.|ɪndˈʌstɹɪəl lˈeɪbɚ hæd ˈɔːlsoʊ bˌɪn ˌɪntɹədˈuːst wɪð sˌæɾɪsfˈæktɚɹi ɹɪzˈʌlts.
00382|LJSpeech|ðɪ ˈɑːfɪs ʌv mˈɑːɹʃəl hɐdbɪn hɚɹˈɛdətˌɛɹi,|ðɪ ˈɑːfɪs ʌv mˈɑːɹʃəl hɐdbɪn hɚɹˈɛdətˌɛɹi,
02008|LJSpeech|ɐ fˈʊl dᵻskɹˈɪpʃən ʌv ðɪs nˈuː ɡˈæloʊz, wˌɪtʃ wʌz ɪɹˈɛktᵻd ɪn fɹˈʌnt ʌvðə dˈɛɾɚz dˈoːɹ, ɪz təbi fˈaʊnd ɪn kəntˈɛmpɚɹˌɛɹi ɹˈɛkɚdz.|ɐ fˈʊl dᵻskɹˈɪpʃən ʌv ðɪs nˈuː ɡˈæloʊz, wˌɪtʃ wʌz ɪɹˈɛktᵻd ɪn fɹˈʌnt ʌvðə dˈɛɾɚz dˈoːɹ, ɪz təbi fˈaʊnd ɪn kəntˈɛmpɚɹˌɛɹi ɹˈɛkɚdz.
01234|LJSpeech|bˌʌt ɐn ˈɛmpti ɹˌɛɡjʊlˈeɪʃən wˌɪtʃ ˈɔːl sˌoʊ dɪspˈoʊzd kʊd dᵻfˈaɪ.|bˌʌt ɐn ˈɛmpti ɹˌɛɡjʊlˈeɪʃən wˌɪtʃ ˈɔːl sˌoʊ dɪspˈoʊzd kʊd dᵻfˈaɪ.
